Issuer Company,Year,Issue Open,Issue Close,Issue Type,Issue Size(Crore Rs.),Issue Price(Rs.),Listing Day Close Price (Rs.)ÿ,Status,Return
Autoline Industries Limited IPO,2007,08-Jan-07,12-Jan-07,BB,75,225,257.15,1,14.29
Akruti Nirman Limited IPO,2007,15-Jan-07,19-Jan-07,BB,361.8,540,563.45,1,4.34
Global Broadcast News Ltd IPO,2007,15-Jan-07,18-Jan-07,BB,105,250,505.9,1,102.36
Pochiraju Industries Limited IPO,2007,15-Jan-07,18-Jan-07,BB,37.6,30,49.65,1,65.5
Yogindera Worsted Limited IPO,2007,16-Jan-07,22-Jan-07,FP,,24,,0,0
House of Pearl Fashions Ltd IPO,2007,16-Jan-07,23-Jan-07,BB,329.17,550,469.95,1,-14.55
Technocraft Industries (India) Ltd IPO,2007,18-Jan-07,23-Jan-07,BB,87.36,105,100.05,1,-4.71
Cinemax India Ltd IPO,2007,18-Jan-07,24-Jan-07,BB,138.26,155,152.3,1,-1.74
Redington (India) Limited IPO,2007,22-Jan-07,25-Jan-07,BB,149.51,113,163.7,1,44.87
Transwarranty Finance Ltd IPO,2007,23-Jan-07,02-Feb-07,BB,31.2,52,47.45,1,-8.75
Firstsource Solutions Limited IPO,2007,29-Jan-07,02-Feb-07,BB,443.52,64,79.55,1,24.3
Power Finance Corporation Ltd. IPO,2007,31-Jan-07,06-Feb-07,BB,997.19,85,111.65,1,31.35
Indian Bank IPO,2007,05-Feb-07,09-Feb-07,BB,782.15,91,98.35,1,8.08
SMS Pharmaceuticals Limited IPO,2007,05-Feb-07,08-Feb-07,BB,97.93,380,359.25,1,-5.46
C & C Constructions Limited IPO,2007,05-Feb-07,09-Feb-07,BB,124.24,291,241.45,1,-17.03
Euro Ceramics Limited IPO,2007,07-Feb-07,13-Feb-07,BB,92.75,165,119.15,1,-27.79
Mudra Lifestyle Limited IPO,2007,08-Feb-07,14-Feb-07,BB,86.22,90,63.95,1,-28.94
Oriental Trimex Limited IPO,2007,08-Feb-07,14-Feb-07,BB,48,48,29.7,1,-38.13
MindTree Consulting Limited IPO,2007,09-Feb-07,14-Feb-07,BB,237.72,425,621.2,1,46.16
Broadcast Initiatives Limited IPO,2007,09-Feb-07,14-Feb-07,BB,102.6,120,70.4,1,-41.33
Indus Fila Limited IPO,2007,12-Feb-07,14-Feb-07,BB,82.34,170,133.85,1,-21.26
Evinix Accessories Limited IPO,2007,12-Feb-07,15-Feb-07,BB,42,120,74.05,1,-38.29
Idea Cellular Limited IPO,2007,12-Feb-07,15-Feb-07,BB,"2,125.00",75,85.7,1,14.27
Raj Television Network Ltd IPO,2007,14-Feb-07,23-Feb-07,BB,91.7,257,226,1,-12.06
Astral Poly Technik Limited IPO,2007,14-Feb-07,22-Feb-07,FP,34.17,115,105.35,1,-8.39
AMD Metplast Limited IPO,2007,15-Feb-07,23-Feb-07,BB,76.25,75,77.9,1,3.87
Abhishek Mills Ltd IPO,2007,20-Feb-07,01-Mar-07,BB,41,100,91.25,1,-8.75
Tubeknit Fashions Limited IPO,2007,21-Feb-07,02-Mar-07,BB,,,,0,0
Page Industries Ltd (Jockey India) IPO,2007,23-Feb-07,27-Feb-07,BB,100.94,360,271.8,1,-24.5
ICRA Limited IPO,2007,20-Mar-07,23-Mar-07,BB,85.18,330,803.25,1,143.41
Orbit Corporation Limited IPO,2007,20-Mar-07,23-Mar-07,BB,100.1,110,128.2,1,16.55
Advanta India Limited IPO,2007,26-Mar-07,30-Mar-07,BB,216.32,650,845.5,1,30.08
Ammana Bio Pharma Limited IPO,2007,28-Mar-07,05-Apr-07,BB,,,,0,0
Fortis Healthcare Ltd IPO,2007,16-Apr-07,20-Apr-07,BB,496.76,108,100.15,1,-7.27
Bhagwati Banquets And Hotels Ltd IPO,2007,18-Apr-07,25-Apr-07,BB,92,40,49.05,1,22.63
Hilton Metal Forging Ltd IPO,2007,18-Apr-07,24-Apr-07,FP,38.15,70,67.75,1,-3.21
MIC Electronics Limited IPO,2007,30-Apr-07,08-May-07,BB,76.5,150,338.15,1,125.43
Binani Cement Limited IPO,2007,07-May-07,10-May-07,BB,153.75,75,69.05,1,-7.93
Insecticides India Ltd IPO,2007,07-May-07,11-May-07,BB,36.92,115,109.45,1,-4.83
Glory Polyfilms Ltd IPO,2007,09-May-07,15-May-07,FP,39.46,48,62.1,1,29.38
Nitin Fire Protection Industries Ltd IPO,2007,15-May-07,18-May-07,BB,64.41,190,484.85,1,155.18
Time Technoplast Limited IPO,2007,18-May-07,23-May-07,BB,123.53,315,480.9,1,52.67
Decolight Ceramics Limited IPO,2007,24-May-07,29-May-07,BB,43.45,54,44.65,1,-17.31
Meghmani Organics Limited IPO,2007,04-Jun-07,07-Jun-07,BB,102,19,26.6,1,40
Nelcast Limited IPO,2007,04-Jun-07,08-Jun-07,BB,95.27,219,207.35,1,-5.32
Vishal Retail Ltd IPO,2007,11-Jun-07,13-Jun-07,BB,110,270,753.1,1,178.93
DLF Limited IPO,2007,11-Jun-07,14-Jun-07,BB,"9,187.50",525,569.8,1,8.53
Archidply Industries Ltd IPO,2007,11-Jun-07,17-Jun-08,BB,48.96,74,50.55,1,-31.69
Roman Tarmat Limited IPO,2007,12-Jun-07,19-Jun-07,BB,50.75,175,319.2,1,82.4
Celestial Labs Limited IPO,2007,18-Jun-07,22-Jun-07,FP,30,60,67.55,1,12.58
Housing Development and Infrastructure Ltd IPO,2007,28-Jun-07,03-Jul-07,BB,"1,485.00",500,559.35,1,11.87
Allied Digital Services Limited IPO,2007,02-Jul-07,05-Jul-07,BB,85.93,190,330.15,1,73.76
Everonn Systems India Limited IPO,2007,05-Jul-07,11-Jul-07,BB,50,140,477.35,1,240.96
Simplex Projects Limited IPO,2007,10-Jul-07,13-Jul-07,BB,55.5,185,273.7,1,47.95
Alpa Laboratories Limited IPO,2007,12-Jul-07,17-Jul-07,BB,64.6,68,55.15,1,-18.9
Omaxe Limited IPO,2007,17-Jul-07,20-Jul-07,BB,551.69,310,349.35,1,12.69
Omnitech InfoSolutions Limited IPO,2007,19-Jul-07,25-Jul-07,BB,35,105,163.4,1,55.62
Zylog Systems Limited IPO,2007,20-Jul-07,25-Jul-07,BB,126,350,427.5,1,22.14
IVR Prime Urban Developers Ltd IPO,2007,23-Jul-07,26-Jul-07,BB,778.25,550,417.9,1,-24.02
Central Bank of India IPO,2007,24-Jul-07,27-Jul-07,BB,816,102,115.3,1,13.04
Asian Granito India Ltd IPO,2007,26-Jul-07,31-Jul-07,BB,67.9,97,94.2,1,-2.89
SEL Manufacturing Company Ltd IPO,2007,26-Jul-07,31-Jul-07,BB,37.25,90,144.75,1,60.83
Puravankara Projects Limited IPO,2007,31-Jul-07,08-Aug-07,BB,858.7,400,362.3,1,-9.43
TAKE Solutions Limited IPO,2007,01-Aug-07,07-Aug-07,BB,153.3,730,927.8,1,27.1
K.P.R. Mill Limited IPO,2007,02-Aug-07,07-Aug-07,BB,133.02,225,174.2,1,-22.58
Motilal Oswal Financial Services Ltd IPO,2007,20-Aug-07,23-Aug-07,BB,246.07,825,976.85,1,18.41
Indowind Energy Limited IPO,2007,21-Aug-07,24-Aug-07,BB,81.25,65,113.65,1,74.85
Magnum Ventures Limited IPO,2007,27-Aug-07,30-Aug-07,BB,52.92,30,49.4,1,64.67
Kaveri Seed Company Limited IPO,2007,06-Sep-07,11-Sep-07,BB,68,170,230.95,1,35.85
Dhanus Technologies Limited IPO,2007,10-Sep-07,12-Sep-07,BB,113.13,295,309.75,1,5
Power Grid Corporation of India Ltd. IPO,2007,10-Sep-07,13-Sep-07,BB,"2,984.45",52,100.6,1,93.46
Koutons Retail India Limited IPO,2007,18-Sep-07,21-Sep-07,BB,146.26,415,586.5,1,41.33
Consolidated Construction Consortium Ltd IPO,2007,18-Sep-07,21-Sep-07,BB,188.7,510,792.1,1,55.31
Supreme Infrastructure India Ltd IPO,2007,21-Sep-07,26-Sep-07,BB,37.53,108,175.1,1,62.13
Maytas Infra Limited IPO,2007,27-Sep-07,04-Oct-07,BB,327.45,370,613.35,1,65.77
SVPCL Limited IPO,2007,22-Oct-07,26-Oct-07,BB,,,,0,0
Varun Industries Limited IPO,2007,25-Oct-07,31-Oct-07,FP,54,60,112.2,1,87
Barak Valley Cements Ltd IPO,2007,29-Oct-07,01-Nov-07,BB,23.77,42,55.3,1,31.67
Religare Enterprises Limited IPO,2007,29-Oct-07,01-Nov-07,BB,140.16,185,525.3,1,183.95
Mundra Port and Special Economic Zone Ltd IPO,2007,01-Nov-07,07-Nov-07,BB,"1,771.00",440,962.9,1,118.84
Empee Distilleries Limited IPO,2007,01-Nov-07,06-Nov-07,BB,192,400,319.35,1,-20.16
Edelweiss Capital Limited IPO,2007,15-Nov-07,20-Nov-07,BB,691.86,825,1510.25,1,83.06
Kolte-Patil Developers Limited IPO,2007,19-Nov-07,22-Nov-07,BB,275.51,145,181.35,1,25.07
Renaissance Jewellery Limited IPO,2007,19-Nov-07,21-Nov-07,BB,79.86,150,164.9,1,9.93
Kaushalya Infrastructure Dev Corp Ltd IPO,2007,20-Nov-07,23-Nov-07,BB,51,60,82.45,1,37.42
Jyothi Laboratories Limited IPO,2007,22-Nov-07,27-Nov-07,BB,305.69,690,741.15,1,7.41
Burnpur Cement Limited IPO,2007,28-Nov-07,03-Dec-07,FP,26.28,12,48.05,1,300.42
eClerx Services Limited IPO,2007,04-Dec-07,07-Dec-07,BB,101,315,449.65,1,42.75
BGR Energy Systems Limited IPO,2007,05-Dec-07,12-Dec-07,BB,438.53,480,901.45,1,87.8
Transformers and Rectifiers India Ltd IPO,2007,07-Dec-07,12-Dec-07,BB,139.27,465,729.25,1,56.83
Brigade Enterprises Limited IPO,2007,10-Dec-07,13-Dec-07,BB,648.36,390,379.9,1,-2.59
Aries Agro Limited IPO,2007,14-Dec-07,19-Dec-07,BB,58.5,130,251.4,1,93.38
Manaksia Limited IPO,2007,17-Dec-07,19-Dec-07,BB,248,160,167.7,1,4.81
Precision Pipes and Profiles Company Ltd IPO,2007,17-Dec-07,20-Dec-07,BB,75,150,136.1,1,-9.27
Future Capital Holdings Ltd IPO,2008,11-Jan-08,16-Jan-08,BB,491.34,765,909.8,1,18.93
Reliance Power Limited IPO,2008,15-Jan-08,18-Jan-08,BB,"11,563.20",450,372.3,1,-17.27
J Kumar Infraprojects Limited IPO,2008,18-Jan-08,23-Jan-08,BB,71.5,110,103.35,1,-6.05
Cords Cable Industries Limited IPO,2008,21-Jan-08,24-Jan-08,BB,41.65,135,139.45,1,3.3
OnMobile Global Limited IPO,2008,24-Jan-08,29-Jan-08,BB,479.62,440,518.15,1,17.76
KNR Constructions Limited IPO,2008,24-Jan-08,29-Jan-08,BB,133.87,180,154.9,1,-13.94
Bang Overseas Limited IPO,2008,28-Jan-08,31-Jan-08,BB,72.45,207,174.1,1,-15.89
Shriram EPC Limited IPO,2008,29-Jan-08,01-Feb-08,BB,150,300,286.5,1,-4.5
Wockhardt Hospitals Ltd IPO,2008,31-Jan-08,07-Feb-08,BB,,,,0,0
